query_id,rank,candidate_id,similarity_score
11605,1,31874,0.8248685598373413
11605,2,36874,0.8224464654922485
11605,3,7539,0.8196669816970825
11605,4,1365,0.8196256160736084
11605,5,4754,0.8182772397994995
11605,6,13406,0.8157998919487
11605,7,2956,0.8150995373725891
11605,8,7466,0.8150132894515991
11605,9,9853,0.8143510818481445
11605,10,35080,0.8143365979194641
11605,11,36536,0.8139947056770325
11605,12,421,0.8137580752372742
11605,13,25244,0.8136229515075684
11605,14,14802,0.813404381275177
11605,15,3910,0.8123542666435242
11605,16,29625,0.8111478090286255
11605,17,249,0.8111222386360168
11605,18,28549,0.8110518455505371
11605,19,23144,0.8106287717819214
11605,20,1809,0.8088399171829224
11605,21,35864,0.8087475895881653
11605,22,32092,0.8081676363945007
11605,23,9598,0.8052939176559448
11605,24,31114,0.8039236068725586
11605,25,28031,0.8031049370765686
11605,26,24498,0.8021303415298462
11605,27,819,0.7948753833770752
11605,28,37977,0.7922728657722473
11605,29,37035,0.791395902633667
11605,30,28259,0.7894684672355652
11605,31,34407,0.3270606994628906
37977,1,36874,0.823866605758667
37977,2,31874,0.8173415064811707
37977,3,32092,0.8165372610092163
37977,4,14802,0.8154329061508179
37977,5,7539,0.8150923252105713
37977,6,23144,0.8150641918182373
37977,7,13406,0.8142814040184021
37977,8,35080,0.8142110109329224
37977,9,2956,0.8128660321235657
37977,10,1809,0.8126893639564514
37977,11,7466,0.8126834034919739
37977,12,29625,0.812495231628418
37977,13,28549,0.8121019601821899
37977,14,249,0.812096893787384
37977,15,37035,0.811860978603363
37977,16,1365,0.8086116313934326
37977,17,3910,0.8083902597427368
37977,18,36536,0.8079256415367126
37977,19,25244,0.8074353933334351
37977,20,421,0.8071200251579285
37977,21,31114,0.806273877620697
37977,22,9853,0.806236743927002
37977,23,28031,0.8052957057952881
37977,24,28259,0.8050544261932373
37977,25,4754,0.8048157691955566
37977,26,35864,0.8047528862953186
37977,27,9598,0.8009724020957947
37977,28,24498,0.798103928565979
37977,29,819,0.7914473414421082
37977,30,11605,0.7858994603157043
37977,31,34407,0.2559937536716461
35864,1,36874,0.8148535490036011
35864,2,28549,0.8135179877281189
35864,3,36536,0.8122236728668213
35864,4,7539,0.8119252324104309
35864,5,4754,0.810529351234436
35864,6,421,0.8068320155143738
35864,7,14802,0.803961992263794
35864,8,25244,0.8037074208259583
35864,9,29625,0.8025289177894592
35864,10,7466,0.8016330599784851
35864,11,1809,0.8003390431404114
35864,12,13406,0.799092710018158
35864,13,1365,0.7985347509384155
35864,14,35080,0.7971259355545044
35864,15,32092,0.795526921749115
35864,16,31874,0.7945455312728882
35864,17,3910,0.7928219437599182
35864,18,9853,0.7912073135375977
35864,19,37035,0.7905091643333435
35864,20,2956,0.7876266837120056
35864,21,23144,0.7875441908836365
35864,22,11605,0.7868461608886719
35864,23,24498,0.7865345478057861
35864,24,9598,0.7830413579940796
35864,25,819,0.7809330224990845
35864,26,249,0.7801723480224609
35864,27,28259,0.7741314172744751
35864,28,31114,0.7732259035110474
35864,29,28031,0.7682496309280396
35864,30,37977,0.7631255388259888
35864,31,34407,0.2532925307750702
37035,1,36874,0.8143478631973267
37035,2,28549,0.8121917247772217
37035,3,7539,0.8096056580543518
37035,4,29625,0.8092288374900818
37035,5,4754,0.807971179485321
37035,6,13406,0.8078501224517822
37035,7,35864,0.8075809478759766
37035,8,1809,0.805107593536377
37035,9,36536,0.8046183586120605
37035,10,23144,0.8044522404670715
37035,11,14802,0.803989052772522
37035,12,1365,0.8038097023963928
37035,13,35080,0.803598165512085
37035,14,31874,0.8030272126197815
37035,15,421,0.8020071983337402
37035,16,7466,0.8011442422866821
37035,17,2956,0.7995219230651855
37035,18,25244,0.7987308502197266
37035,19,9853,0.7982144951820374
37035,20,3910,0.7966887950897217
37035,21,9598,0.7964373826980591
37035,22,28259,0.7939025163650513
37035,23,37977,0.7928743362426758
37035,24,32092,0.789511501789093
37035,25,24498,0.7860224843025208
37035,26,249,0.7839023470878601
37035,27,819,0.7803292274475098
37035,28,31114,0.7794405221939087
37035,29,28031,0.7754402160644531
37035,30,11605,0.7743123769760132
37035,31,34407,0.22413982450962067
3910,1,7539,0.8186076879501343
3910,2,4754,0.8128485679626465
3910,3,421,0.8106969594955444
3910,4,36874,0.8106010556221008
3910,5,1365,0.8070372343063354
3910,6,14802,0.8068946003913879
3910,7,7466,0.8020239472389221
3910,8,13406,0.7984648942947388
3910,9,36536,0.7972133755683899
3910,10,29625,0.7968816161155701
3910,11,1809,0.7957797646522522
3910,12,249,0.7953954339027405
3910,13,35080,0.7946457862854004
3910,14,2956,0.7938984632492065
3910,15,23144,0.7915074825286865
3910,16,25244,0.7895145416259766
3910,17,31874,0.7893692851066589
3910,18,28549,0.7889635562896729
3910,19,28259,0.7889171838760376
3910,20,9853,0.7882834672927856
3910,21,32092,0.7880901098251343
3910,22,35864,0.7852730751037598
3910,23,9598,0.7835049629211426
3910,24,11605,0.7791379690170288
3910,25,24498,0.7784567475318909
3910,26,28031,0.776136577129364
3910,27,37035,0.7740538716316223
3910,28,31114,0.7736031413078308
3910,29,37977,0.7706717848777771
3910,30,819,0.7664626836776733
